mode,model,P_pruned,R_pruned,F1_pruned,P_noprune,R_noprune,F1_noprune,F1_delta
bypass,gemma4-e2b-mlx,0.969,1.0,0.984,,,,
bypass,gemma4-e4b,0.367,0.308,0.324,,,,
bypass,llama3.1-8b,0.958,0.808,0.862,,,,
bypass,mistral-7b,0.7,0.496,0.564,,,,
bypass,qwen2.5-14b,0.824,0.735,0.756,,,,
bypass,qwen2.5-7b,0.8,0.681,0.721,,,,
graphrag,qwen2.5-14b,0.634,0.197,0.237,0.436,0.982,0.533,0.296
graphrag,gemma4-e4b,0.477,0.214,0.254,0.438,0.657,0.468,0.214
graphrag,llama3.1-8b,0.553,0.45,0.422,0.435,0.954,0.511,0.089
graphrag,mistral-7b,0.431,0.559,0.407,0.402,0.936,0.488,0.081
graphrag,qwen2.5-7b,0.464,0.704,0.458,0.434,0.995,0.528,0.07
graphrag,baseline-keyword,0.416,0.954,0.514,,,,
graphrag,gemma4-e2b-mlx,0.972,0.921,0.946,,,,
zeroshot,gemma4-e4b,0.478,0.473,0.462,,,,
zeroshot,llama3.1-8b,0.937,0.767,0.827,,,,
zeroshot,mistral-7b,0.492,0.613,0.487,,,,
zeroshot,qwen2.5-14b,0.821,0.681,0.726,,,,
zeroshot,qwen2.5-7b,0.824,0.735,0.763,,,,
